name,precision,size[y,x]
layers.27.attention.norm_q.weight,BF16,256
layers.27.attention.o.weight,F8_E4M3,4608x4608
layers.27.attention.o.weight_scale,F32,4608
layers.27.attention.qkv.weight,F8_E4M3,13824x4608
layers.27.attention.qkv.weight_scale,F32,13824
layers.27.attention_norm1.weight,BF16,4608
layers.27.attention_norm2.weight,BF16,4608
layers.27.feed_forward.w1.weight,F8_E4M3,12288x4608
layers.27.feed_forward.w1.weight_scale,F32,12288
layers.27.feed_forward.w2.weight,F8_E4M3,4608x12288
layers.27.feed_forward.w2.weight_scale,F32,4608
layers.27.feed_forward.w3.weight,F8_E4M3,12288x4608
layers.27.feed_forward.w3.weight_scale,F32,12288
layers.27.ffn_norm1.weight,BF16,4608
layers.27.ffn_norm2.weight,BF16,4608
layers.28.adaln_modulation.bias,BF16,18432
layers.28.adaln_modulation.weight,F8_E4M3,18432x512
layers.28.adaln_modulation.weight_scale,F32,18432
layers.28.attention.norm_k.weight,BF16,256
layers.28.attention.norm_q.weight,BF16,256
layers.28.attention.o.weight,F8_E4M3,4608x4608
layers.28.attention.o.weight_scale,F32,4608
layers.28.attention.qkv.weight,F8_E4M3,13824x4608
layers.28.attention.qkv.weight_scale,F32,13824
layers.28.attention_norm1.weight,BF16,4608
layers.28.attention_norm2.weight,BF16,4608
layers.28.feed_forward.w1.weight,F8_E4M3,12288x4608
layers.28.feed_forward.w1.weight_scale,F32,12288
layers.28.feed_forward.w2.weight,F8_E4M3,4608x12288
layers.28.feed_forward.w2.weight_scale,F32,4608
layers.28.feed_forward.w3.weight,F8_E4M3,12288x4608
layers.28.feed_forward.w3.weight_scale,F32,12288
layers.28.ffn_norm1.weight,BF16,4608
layers.28.ffn_norm2.weight,BF16,4608
layers.29.adaln_modulation.bias,BF16,18432
layers.29.adaln_modulation.weight,F8_E4M3,18432x512
layers.29.adaln_modulation.weight_scale,F32,18432
layers.29.attention.norm_k.weight,BF16,256
layers.29.attention.norm_q.weight,BF16,256
layers.29.attention.o.weight,F8_E4M3,4608x4608
layers.29.attention.o.weight_scale,F32,4608
layers.29.attention.qkv.weight,F8_E4M3,13824x4608
layers.29.attention.qkv.weight_scale,F32,13824
layers.29.attention_norm1.weight,BF16,4608
layers.29.attention_norm2.weight,BF16,4608
layers.29.feed_forward.w1.weight,F8_E4M3,12288x4608
layers.29.feed_forward.w1.weight_scale,F32,12288
layers.29.feed_forward.w2.weight,F8_E4M3,4608x12288
layers.29.feed_forward.w2.weight_scale,F32,4608
layers.29.feed_forward.w3.weight,F8_E4M3,12288x4608
layers.29.feed_forward.w3.weight_scale,F32,12288
layers.29.ffn_norm1.weight,BF16,4608
layers.29.ffn_norm2.weight,BF16,4608
layers.3.adaln_modulation.bias,BF16,18432
layers.3.adaln_modulation.weight,F8_E4M3,18432x512
layers.3.adaln_modulation.weight_scale,F32,18432
layers.3.attention.norm_k.weight,BF16,256
layers.3.attention.norm_q.weight,BF16,256
layers.3.attention.o.weight,F8_E4M3,4608x4608
layers.3.attention.o.weight_scale,F32,4608
layers.3.attention.qkv.weight,F8_E4M3,13824x4608
layers.3.attention.qkv.weight_scale,F32,13824
layers.3.attention_norm1.weight,BF16,4608
layers.3.attention_norm2.weight,BF16,4608
layers.3.feed_forward.w1.weight,F8_E4M3,12288x4608
layers.3.feed_forward.w1.weight_scale,F32,12288
layers.3.feed_forward.w2.weight,F8_E4M3,4608x12288
layers.3.feed_forward.w2.weight_scale,F32,4608
layers.3.feed_forward.w3.weight,F8_E4M3,12288x4608
layers.3.feed_forward.w3.weight_scale,F32,12288
layers.3.ffn_norm1.weight,BF16,4608
