name,precision,"size[y,x]"
transformer_blocks.17.attn.norm_k.weight,F32,[128]
transformer_blocks.17.attn.norm_q.weight,F32,[128]
transformer_blocks.17.attn.to_gate.weight,BF16,"[6144, 6144]"
transformer_blocks.17.attn.to_k.weight,BF16,"[1536, 6144]"
transformer_blocks.17.attn.to_out.0.weight,BF16,"[6144, 6144]"
transformer_blocks.17.attn.to_q.weight,BF16,"[6144, 6144]"
transformer_blocks.17.attn.to_v.weight,BF16,"[1536, 6144]"
transformer_blocks.17.ff.down.weight,BF16,"[6144, 16384]"
transformer_blocks.17.ff.gate.weight,BF16,"[16384, 6144]"
transformer_blocks.17.ff.up.weight,BF16,"[16384, 6144]"
transformer_blocks.17.norm1.weight,F32,[6144]
transformer_blocks.17.norm2.weight,F32,[6144]
transformer_blocks.17.scale_shift_table,F32,"[6, 6144]"
transformer_blocks.18.attn.norm_k.weight,F32,[128]
transformer_blocks.18.attn.norm_q.weight,F32,[128]
transformer_blocks.18.attn.to_gate.weight,BF16,"[6144, 6144]"
transformer_blocks.18.attn.to_k.weight,BF16,"[1536, 6144]"
transformer_blocks.18.attn.to_out.0.weight,BF16,"[6144, 6144]"
transformer_blocks.18.attn.to_q.weight,BF16,"[6144, 6144]"
transformer_blocks.18.attn.to_v.weight,BF16,"[1536, 6144]"
transformer_blocks.18.ff.down.weight,BF16,"[6144, 16384]"
transformer_blocks.18.ff.gate.weight,BF16,"[16384, 6144]"
transformer_blocks.18.ff.up.weight,BF16,"[16384, 6144]"
transformer_blocks.18.norm1.weight,F32,[6144]
transformer_blocks.18.norm2.weight,F32,[6144]
transformer_blocks.18.scale_shift_table,F32,"[6, 6144]"
transformer_blocks.19.attn.norm_k.weight,F32,[128]
transformer_blocks.19.attn.norm_q.weight,F32,[128]
transformer_blocks.19.attn.to_gate.weight,BF16,"[6144, 6144]"
transformer_blocks.19.attn.to_k.weight,BF16,"[1536, 6144]"
transformer_blocks.19.attn.to_out.0.weight,BF16,"[6144, 6144]"
transformer_blocks.19.attn.to_q.weight,BF16,"[6144, 6144]"
transformer_blocks.19.attn.to_v.weight,BF16,"[1536, 6144]"
transformer_blocks.19.ff.down.weight,BF16,"[6144, 16384]"
transformer_blocks.19.ff.gate.weight,BF16,"[16384, 6144]"
transformer_blocks.19.ff.up.weight,BF16,"[16384, 6144]"
transformer_blocks.19.norm1.weight,F32,[6144]
transformer_blocks.19.norm2.weight,F32,[6144]
transformer_blocks.19.scale_shift_table,F32,"[6, 6144]"
transformer_blocks.20.attn.norm_k.weight,F32,[128]
transformer_blocks.20.attn.norm_q.weight,F32,[128]
transformer_blocks.20.attn.to_gate.weight,BF16,"[6144, 6144]"
transformer_blocks.20.attn.to_k.weight,BF16,"[1536, 6144]"
transformer_blocks.20.attn.to_out.0.weight,BF16,"[6144, 6144]"
transformer_blocks.20.attn.to_q.weight,BF16,"[6144, 6144]"
transformer_blocks.20.attn.to_v.weight,BF16,"[1536, 6144]"
transformer_blocks.20.ff.gate.weight,BF16,"[16384, 6144]"
transformer_blocks.20.norm1.weight,F32,[6144]
transformer_blocks.20.norm2.weight,F32,[6144]
transformer_blocks.20.scale_shift_table,F32,"[6, 6144]"
transformer_blocks.9.attn.to_out.0.weight,BF16,"[6144, 6144]"
transformer_blocks.9.ff.down.weight,BF16,"[6144, 16384]"
transformer_blocks.9.ff.gate.weight,BF16,"[16384, 6144]"
transformer_blocks.9.ff.up.weight,BF16,"[16384, 6144]"
final_layer.linear.bias,F32,[64]
final_layer.linear.weight,F32,"[64, 6144]"
final_layer.norm.weight,F32,[6144]
final_layer.scale_shift_table,F32,"[2, 6144]"
transformer_blocks.20.ff.down.weight,BF16,"[6144, 16384]"
transformer_blocks.20.ff.up.weight,BF16,"[16384, 6144]"
transformer_blocks.21.attn.norm_k.weight,F32,[128]
transformer_blocks.21.attn.norm_q.weight,F32,[128]
transformer_blocks.21.attn.to_gate.weight,BF16,"[6144, 6144]"
transformer_blocks.21.attn.to_k.weight,BF16,"[1536, 6144]"
transformer_blocks.21.attn.to_out.0.weight,BF16,"[6144, 6144]"
transformer_blocks.21.attn.to_q.weight,BF16,"[6144, 6144]"
transformer_blocks.21.attn.to_v.weight,BF16,"[1536, 6144]"
transformer_blocks.21.ff.down.weight,BF16,"[6144, 16384]"
transformer_blocks.21.ff.gate.weight,BF16,"[16384, 6144]"
transformer_blocks.21.ff.up.weight,BF16,"[16384, 6144]"
transformer_blocks.21.norm1.weight,F32,[6144]
transformer_blocks.21.norm2.weight,F32,[6144]
transformer_blocks.21.scale_shift_table,F32,"[6, 6144]"
transformer_blocks.22.attn.norm_k.weight,F32,[128]
transformer_blocks.22.attn.norm_q.weight,F32,[128]
transformer_blocks.22.attn.to_gate.weight,BF16,"[6144, 6144]"
transformer_blocks.22.attn.to_k.weight,BF16,"[1536, 6144]"
transformer_blocks.22.attn.to_out.0.weight,BF16,"[6144, 6144]"
transformer_blocks.22.attn.to_q.weight,BF16,"[6144, 6144]"
transformer_blocks.22.attn.to_v.weight,BF16,"[1536, 6144]"
transformer_blocks.22.ff.down.weight,BF16,"[6144, 16384]"
transformer_blocks.22.ff.gate.weight,BF16,"[16384, 6144]"
transformer_blocks.22.ff.up.weight,BF16,"[16384, 6144]"
transformer_blocks.22.norm1.weight,F32,[6144]
transformer_blocks.22.norm2.weight,F32,[6144]
transformer_blocks.22.scale_shift_table,F32,"[6, 6144]"
transformer_blocks.23.attn.norm_k.weight,F32,[128]
transformer_blocks.23.attn.norm_q.weight,F32,[128]
transformer_blocks.23.attn.to_gate.weight,BF16,"[6144, 6144]"
transformer_blocks.23.attn.to_k.weight,BF16,"[1536, 6144]"
transformer_blocks.23.attn.to_out.0.weight,BF16,"[6144, 6144]"
transformer_blocks.23.attn.to_q.weight,BF16,"[6144, 6144]"
transformer_blocks.23.attn.to_v.weight,BF16,"[1536, 6144]"
transformer_blocks.23.ff.down.weight,BF16,"[6144, 16384]"
transformer_blocks.23.ff.gate.weight,BF16,"[16384, 6144]"
transformer_blocks.23.ff.up.weight,BF16,"[16384, 6144]"
transformer_blocks.23.norm1.weight,F32,[6144]
transformer_blocks.23.norm2.weight,F32,[6144]
transformer_blocks.23.scale_shift_table,F32,"[6, 6144]"
transformer_blocks.24.attn.norm_k.weight,F32,[128]
transformer_blocks.24.attn.norm_q.weight,F32,[128]
transformer_blocks.24.attn.to_gate.weight,BF16,"[6144, 6144]"
transformer_blocks.24.attn.to_k.weight,BF16,"[1536, 6144]"
transformer_blocks.24.attn.to_out.0.weight,BF16,"[6144, 6144]"
transformer_blocks.24.attn.to_q.weight,BF16,"[6144, 6144]"
transformer_blocks.24.attn.to_v.weight,BF16,"[1536, 6144]"
transformer_blocks.24.ff.down.weight,BF16,"[6144, 16384]"
transformer_blocks.24.ff.gate.weight,BF16,"[16384, 6144]"
transformer_blocks.24.ff.up.weight,BF16,"[16384, 6144]"
transformer_blocks.24.norm1.weight,F32,[6144]
transformer_blocks.24.norm2.weight,F32,[6144]
transformer_blocks.24.scale_shift_table,F32,"[6, 6144]"
transformer_blocks.25.attn.norm_k.weight,F32,[128]
transformer_blocks.25.attn.norm_q.weight,F32,[128]
transformer_blocks.25.attn.to_gate.weight,BF16,"[6144, 6144]"
transformer_blocks.25.attn.to_k.weight,BF16,"[1536, 6144]"
transformer_blocks.25.attn.to_out.0.weight,BF16,"[6144, 6144]"
transformer_blocks.25.attn.to_q.weight,BF16,"[6144, 6144]"
transformer_blocks.25.attn.to_v.weight,BF16,"[1536, 6144]"
transformer_blocks.25.ff.down.weight,BF16,"[6144, 16384]"
transformer_blocks.25.ff.gate.weight,BF16,"[16384, 6144]"
transformer_blocks.25.ff.up.weight,BF16,"[16384, 6144]"
transformer_blocks.25.norm1.weight,F32,[6144]
transformer_blocks.25.norm2.weight,F32,[6144]
transformer_blocks.25.scale_shift_table,F32,"[6, 6144]"
transformer_blocks.26.attn.norm_k.weight,F32,[128]
transformer_blocks.26.attn.norm_q.weight,F32,[128]
transformer_blocks.26.attn.to_gate.weight,BF16,"[6144, 6144]"
transformer_blocks.26.attn.to_k.weight,BF16,"[1536, 6144]"
transformer_blocks.26.attn.to_out.0.weight,BF16,"[6144, 6144]"
transformer_blocks.26.attn.to_q.weight,BF16,"[6144, 6144]"
transformer_blocks.26.attn.to_v.weight,BF16,"[1536, 6144]"
transformer_blocks.26.ff.down.weight,BF16,"[6144, 16384]"
transformer_blocks.26.ff.gate.weight,BF16,"[16384, 6144]"
transformer_blocks.26.ff.up.weight,BF16,"[16384, 6144]"
transformer_blocks.26.norm1.weight,F32,[6144]
transformer_blocks.26.norm2.weight,F32,[6144]
transformer_blocks.26.scale_shift_table,F32,"[6, 6144]"
transformer_blocks.27.attn.norm_k.weight,F32,[128]
transformer_blocks.27.attn.norm_q.weight,F32,[128]
transformer_blocks.27.attn.to_gate.weight,BF16,"[6144, 6144]"
transformer_blocks.27.attn.to_k.weight,BF16,"[1536, 6144]"
transformer_blocks.27.attn.to_out.0.weight,BF16,"[6144, 6144]"
transformer_blocks.27.attn.to_q.weight,BF16,"[6144, 6144]"
transformer_blocks.27.attn.to_v.weight,BF16,"[1536, 6144]"
transformer_blocks.27.ff.down.weight,BF16,"[6144, 16384]"
transformer_blocks.27.ff.gate.weight,BF16,"[16384, 6144]"
transformer_blocks.27.ff.up.weight,BF16,"[16384, 6144]"
transformer_blocks.27.norm1.weight,F32,[6144]
transformer_blocks.27.norm2.weight,F32,[6144]
transformer_blocks.27.scale_shift_table,F32,"[6, 6144]"
